DES_PIANO_TARIFFARIO_BILLING;DES_MACRO_STATO;CICLO_VITA_SIM_gg;gg_DA_ULTIMA_CHIAMATA;gg_DA_ULTIMA_RICARICA;DES_CANALE_VENDITA;MINUTI_FEB;MINUTI_GEN;MINUTI_DIC;VIDEO_FEB;VIDEO_GEN;VIDEO_DIC;MESSAGGI_FEB;MESSAGGI_GEN;MESSAGGI_DIC;WEB_FEB;WEB_GEN;WEB_DIC
TuaMatic;0;438;7;148;NATIONAL CHAIN;BASSO;BASSO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;483;15;365;FRANCHISING;BASSO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;426;86;64;SHOP IN SHOP;BASSO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;360;199;236;SHOP IN SHOP;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;449;2;365;FRANCHISING;MEDIO;MEDIO;MEDIO;MEDIO;MEDIO;ALTO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;574;59;297;SHOP IN SHOP;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;402;45;209;SHOP IN SHOP;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;409;28;365;NATIONAL CHAIN;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;405;96;243;NATIONAL CHAIN;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;502;2;365;DISTRIBUTOR;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;MEDIO;MEDIO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;377;44;64;FRANCHISING;MEDIO;ALTO;ALTO;BASSO;BASSO;MEDIO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;483;2;365;SHOP IN SHOP;MEDIO;MEDIO;ALTO;ALTO;BASSO;ALTO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO
SuperTua;0;482;25;365;FRANCHISING;BASSO;BASSO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;406;50;64;SHOP IN SHOP;MEDIO;MEDIO;ALTO;BASSO;BASSO;MEDIO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;444;98;444;FRANCHISING;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
SuperTua;1;378;64;56;NATIONAL CHAIN;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;MEDIO;ALTO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;423;4;365;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;ALTO;ALTO;ALTO;MEDIO;ALTO;MEDIO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;406;2;365;FLAGSHIP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;1;389;51;64;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;669;2;365;FRANCHISING;ALTO;MEDIO;ALTO;MEDIO;BASSO;MEDIO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;1;448;11;365;FRANCHISING;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
SuperTua;0;729;2;365;FLAGSHIP;MEDIO;ALTO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
